 CDUST   = CDUST                                            
1
 0   0.0
 53 157
 820.0  2.192E-09
 834.2  2.198E-09
 840.0  2.200E-09
 860.0  2.208E-09
 880.0  2.216E-09
 900.0  2.224E-09
 920.0  2.231E-09
 923.1  2.232E-09
 933.4  2.236E-09
 937.8  2.238E-09
 940.0  2.239E-09
 949.7  2.242E-09
 960.0  2.246E-09
 972.5  2.250E-09
 977.0  2.252E-09
 980.0  2.253E-09
 991.0  2.257E-09
1000.0  2.260E-09
1020.0  2.267E-09
1025.7  2.268E-09
1035.0  2.271E-09
1060.0  2.279E-09
1110.0  2.293E-09
1155.0  2.303E-09
1190.0  2.309E-09
1210.0  2.312E-09
1215.7  2.312E-09
1250.0  2.315E-09
1300.0  2.317E-09
1350.0  2.314E-09
1400.0  2.307E-09
1450.0  2.295E-09
1500.0  2.278E-09
1550.0  2.257E-09
1600.0  2.231E-09
1650.0  2.201E-09
1700.0  2.166E-09
1750.0  2.127E-09
1800.0  2.085E-09
1850.0  2.040E-09
1900.0  1.991E-09
1950.0  1.941E-09
2000.0  1.888E-09
2050.0  1.833E-09
2100.0  1.777E-09
2150.0  1.720E-09
2200.0  1.663E-09
2250.0  1.605E-09
2300.0  1.547E-09
2350.0  1.489E-09
2400.0  1.432E-09
2450.0  1.376E-09
2500.0  1.320E-09
2550.0  1.266E-09
2575.0  1.239E-09
2625.0  1.186E-09
2675.0  1.135E-09
2725.0  1.085E-09
2775.0  1.036E-09
2825.0  9.893E-10
2875.0  9.439E-10
2925.0  9.001E-10
2975.0  8.578E-10
3025.0  8.172E-10
3075.0  7.781E-10
3125.0  7.406E-10
3175.0  7.046E-10
3225.0  6.702E-10
3275.0  6.372E-10
3325.0  6.057E-10
3375.0  5.756E-10
3425.0  5.468E-10
3475.0  5.194E-10
3525.0  4.932E-10
3575.0  4.683E-10
3625.0  4.445E-10
3675.0  4.219E-10
3725.0  4.004E-10
3775.0  3.800E-10
3825.0  3.605E-10
3875.0  3.420E-10
3925.0  3.244E-10
3975.0  3.078E-10
4025.0  2.919E-10
4100.0  2.696E-10
4200.0  2.425E-10
4300.0  2.181E-10
4400.0  2.006E-10
4500.0  1.958E-10
4600.0  1.911E-10
4700.0  1.866E-10
4800.0  1.823E-10
4900.0  1.782E-10
5000.0  1.742E-10
5100.0  1.703E-10
5200.0  1.666E-10
5300.0  1.631E-10
5400.0  1.596E-10
5500.0  1.563E-10
5600.0  1.531E-10
5700.0  1.500E-10
5800.0  1.470E-10
5900.0  1.441E-10
6000.0  1.385E-10
6100.0  1.359E-10
