 CL2O2   =2CLO                                              
 1
0  225.0
 93 141
1900.0  2.703E-19
1950.0  4.695E-19
2000.0  3.833E-19
2050.0  3.124E-19
2100.0  2.525E-19
2150.0  2.138E-19
2200.0  2.151E-19
2250.0  2.667E-19
2300.0  3.666E-19
2350.0  4.918E-19
2400.0  5.963E-19
2450.0  6.382E-19
2500.0  6.069E-19
2550.0  5.366E-19
2575.0  4.608E-19
2625.0  3.732E-19
2675.0  2.913E-19
2725.0  2.331E-19
2775.0  1.905E-19
2825.0  1.567E-19
2875.0  1.280E-19
2925.0  1.025E-19
2975.0  8.129E-20
3025.0  6.443E-20
3075.0  5.003E-20
3125.0  3.770E-20
3175.0  2.879E-20
3225.0  2.293E-20
3275.0  1.825E-20
3325.0  1.529E-20
3375.0  1.304E-20
3425.0  1.134E-20
3475.0  9.320E-21
3525.0  7.485E-21
3575.0  5.895E-21
3625.0  4.525E-21
3675.0  3.575E-21
3725.0  2.865E-21
3775.0  2.275E-21
3825.0  1.855E-21
3875.0  1.465E-21
3925.0  1.175E-21
3975.0  9.430E-22
4025.0  7.630E-22
4100.0  5.505E-22
4200.0  3.525E-22
4300.0  2.300E-22
4400.0  1.462E-22
4500.0  5.125E-23
