 CO2     = CO2                                              
1
 0 298.0
  1  96
   0.0  2.900E-20
  20.0  2.870E-19
  40.0  2.600E-19
  60.0  6.000E-19
  80.0  1.120E-18
 100.0  1.600E-18
 120.0  2.200E-18
 140.0  3.500E-18
 160.0  7.050E-18
 180.0  8.940E-18
 200.0  1.100E-17
 220.0  1.400E-17
 240.0  1.590E-17
 260.0  1.680E-17
 280.0  1.850E-17
 300.0  2.100E-17
 303.8  2.140E-17
 320.0  2.270E-17
 340.0  2.420E-17
 360.0  2.470E-17
 368.1  2.530E-17
 380.0  2.570E-17
 400.0  2.770E-17
 420.0  2.840E-17
 440.0  2.890E-17
 460.0  2.940E-17
 480.0  2.980E-17
 499.3  3.020E-17
 500.0  3.020E-17
 520.0  3.090E-17
 540.0  3.350E-17
 554.5  3.470E-17
 560.0  3.520E-17
 580.0  3.560E-17
 584.7  3.570E-17
 600.0  3.590E-17
 609.4  3.490E-17
 620.0  3.510E-17
 625.3  3.510E-17
 629.7  3.510E-17
 640.0  3.510E-17
 660.0  3.480E-17
 680.0  3.400E-17
 700.0  3.430E-17
 720.0  3.560E-17
 740.0  3.510E-17
 760.0  3.290E-17
 764.6  3.240E-17
 770.4  3.210E-17
 780.0  3.090E-17
 790.2  2.990E-17
 800.0  2.900E-17
 820.0  2.720E-17
 834.2  3.090E-17
 840.0  3.390E-17
 860.0  4.420E-17
 880.0  5.450E-17
 900.0  5.620E-17
 920.0  7.400E-17
 923.1  1.110E-16
 933.4  7.420E-17
 937.8  7.780E-17
 940.0  5.930E-17
 949.7  3.320E-17
 960.0  4.440E-17
 972.5  2.890E-17
 977.0  4.450E-17
 980.0  4.710E-17
 991.0  8.200E-17
1000.0  4.280E-17
1020.0  3.000E-17
1025.7  1.190E-17
1035.0  3.000E-17
1060.0  1.850E-17
1110.0  3.330E-17
1155.0  5.650E-19
1190.0  9.150E-20
1210.0  6.365E-20
1215.7  7.400E-20
1250.0  2.268E-19
1300.0  6.692E-19
1350.0  7.325E-19
1400.0  5.557E-19
1450.0  5.768E-19
1500.0  5.046E-19
1550.0  3.443E-19
1600.0  1.785E-19
1650.0  7.414E-20
1700.0  2.589E-20
1750.0  7.397E-21
1800.0  1.794E-21
1850.0  3.800E-22
1900.0  8.407E-23
1950.0  1.573E-23
2000.0  2.520E-24
2050.0  2.405E-25
