 H2      =2H                                                
1
 0 298.0
 44  75
 700.0  2.500E-18
 720.0  2.500E-18
 740.0  2.500E-18
 760.0  2.500E-18
 764.6  2.500E-18
 770.4  2.500E-18
 780.0  2.500E-18
 790.2  2.500E-18
 800.0  4.000E-18
 820.0  5.000E-18
 834.2  5.000E-18
 840.0  5.300E-18
 860.0  2.200E-18
 880.0  1.300E-18
 900.0  1.800E-18
 920.0  3.400E-18
 923.1  0.000E+00
 933.4  0.000E+00
 937.8  5.100E-17
 940.0  3.800E-18
 949.7  0.000E+00
 960.0  5.900E-18
 972.5  7.800E-17
 977.0  0.000E+00
 980.0  3.600E-18
 991.0  1.100E-16
1000.0  3.300E-18
1020.0  2.300E-18
1025.7  6.000E-17
1035.0  2.500E-19
1060.0  9.200E-21
1110.0  8.600E-26
