 H2O2    =2OH                                               
12
 0 298.0
 78 125
1210.0  9.700E-18
1215.7  1.100E-17
1250.0  9.700E-18
1300.0  9.300E-18
1350.0  7.400E-18
1400.0  6.000E-18
1450.0  4.100E-18
1500.0  3.600E-18
1550.0  3.500E-18
1600.0  3.700E-18
1650.0  3.600E-18
1700.0  3.400E-18
1750.0  2.000E-18
1800.0  1.320E-18
1850.0  1.060E-18
1900.0  6.720E-19
1950.0  5.664E-19
2000.0  4.778E-19
2050.0  4.100E-19
2100.0  3.571E-19
2150.0  3.071E-19
2200.0  2.590E-19
2250.0  2.178E-19
2300.0  1.824E-19
2350.0  1.508E-19
2400.0  1.245E-19
2450.0  1.024E-19
2500.0  8.337E-20
2550.0  6.908E-20
2575.0  5.825E-20
2625.0  4.750E-20
2675.0  3.750E-20
2725.0  2.950E-20
2775.0  2.300E-20
2825.0  1.750E-20
2875.0  1.350E-20
2925.0  1.050E-20
2975.0  7.900E-21
3025.0  5.950E-21
3075.0  4.500E-21
3125.0  3.400E-21
3175.0  2.550E-21
3225.0  1.900E-21
3275.0  1.450E-21
3325.0  1.150E-21
3375.0  8.500E-22
3425.0  6.000E-22
3475.0  4.500E-22
 0 200.0
108 125
2625.0  4.530E-20
2675.0  3.541E-20
2725.0  2.753E-20
2775.0  2.126E-20
2825.0  1.630E-20
2875.0  1.242E-20
2925.0  9.362E-21
2975.0  6.988E-21
3025.0  5.166E-21
3075.0  3.737E-21
3125.0  2.716E-21
3175.0  1.954E-21
3225.0  1.385E-21
3275.0  9.963E-22
3325.0  7.732E-22
3375.0  5.589E-22
3425.0  4.469E-22
3475.0  4.096E-22
 0 220.0
108 125
2625.0  4.552E-20
2675.0  3.561E-20
2725.0  2.770E-20
2775.0  2.141E-20
2825.0  1.644E-20
2875.0  1.254E-20
2925.0  9.470E-21
2975.0  7.082E-21
3025.0  5.247E-21
3075.0  3.806E-21
3125.0  2.774E-21
3175.0  2.003E-21
3225.0  1.425E-21
3275.0  1.030E-21
3325.0  8.002E-22
3375.0  5.804E-22
3425.0  4.633E-22
3475.0  4.213E-22
 0 240.0
108 125
2625.0  4.583E-20
2675.0  3.589E-20
2725.0  2.795E-20
2775.0  2.164E-20
2825.0  1.664E-20
2875.0  1.271E-20
2925.0  9.621E-21
2975.0  7.213E-21
3025.0  5.360E-21
3075.0  3.902E-21
3125.0  2.856E-21
3175.0  2.071E-21
3225.0  1.482E-21
3275.0  1.077E-21
3325.0  8.381E-22
3375.0  6.104E-22
3425.0  4.863E-22
3475.0  4.377E-22
 0 260.0
108 125
2625.0  4.622E-20
2675.0  3.625E-20
2725.0  2.828E-20
2775.0  2.193E-20
2825.0  1.689E-20
2875.0  1.294E-20
2925.0  9.819E-21
2975.0  7.384E-21
3025.0  5.507E-21
3075.0  4.028E-21
3125.0  2.962E-21
3175.0  2.161E-21
3225.0  1.557E-21
3275.0  1.138E-21
3325.0  8.876E-22
3375.0  6.497E-22
3425.0  5.163E-22
3475.0  4.592E-22
 0 280.0
108 125
2625.0  4.672E-20
2675.0  3.670E-20
2725.0  2.868E-20
2775.0  2.229E-20
2825.0  1.721E-20
2875.0  1.322E-20
2925.0  1.006E-20
2975.0  7.597E-21
3025.0  5.690E-21
3075.0  4.185E-21
3125.0  3.095E-21
3175.0  2.272E-21
3225.0  1.649E-21
3275.0  1.214E-21
3325.0  9.490E-22
3375.0  6.984E-22
3425.0  5.535E-22
3475.0  4.858E-22
 0 320.0
108 125
2625.0  4.798E-20
2675.0  3.784E-20
2725.0  2.971E-20
2775.0  2.321E-20
2825.0  1.803E-20
2875.0  1.394E-20
2925.0  1.069E-20
2975.0  8.140E-21
3025.0  6.157E-21
3075.0  4.584E-21
3125.0  3.433E-21
3175.0  2.556E-21
3225.0  1.886E-21
3275.0  1.408E-21
3325.0  1.106E-21
3375.0  8.228E-22
3425.0  6.485E-22
3475.0  5.537E-22
 0 340.0
108 125
2625.0  4.873E-20
2675.0  3.853E-20
2725.0  3.033E-20
2775.0  2.376E-20
2825.0  1.852E-20
2875.0  1.437E-20
2925.0  1.107E-20
2975.0  8.465E-21
3025.0  6.437E-21
3075.0  4.823E-21
3125.0  3.635E-21
3175.0  2.726E-21
3225.0  2.027E-21
3275.0  1.524E-21
3325.0  1.200E-21
3375.0  8.973E-22
3425.0  7.055E-22
3475.0  5.944E-22
 0 370.0
108 125
2625.0  4.999E-20
2675.0  3.968E-20
2725.0  3.136E-20
2775.0  2.468E-20
2825.0  1.934E-20
2875.0  1.509E-20
2925.0  1.170E-20
2975.0  9.010E-21
3025.0  6.906E-21
3075.0  5.224E-21
3125.0  3.974E-21
3175.0  3.011E-21
3225.0  2.264E-21
3275.0  1.719E-21
3325.0  1.357E-21
3375.0  1.022E-21
3425.0  8.008E-22
3475.0  6.625E-22
 0 385.0
108 125
2625.0  5.068E-20
2675.0  4.030E-20
2725.0  3.192E-20
2775.0  2.518E-20
2825.0  1.978E-20
2875.0  1.548E-20
2925.0  1.204E-20
2975.0  9.305E-21
3025.0  7.159E-21
3075.0  5.440E-21
3125.0  4.157E-21
3175.0  3.164E-21
3225.0  2.392E-21
3275.0  1.825E-21
3325.0  1.442E-21
3375.0  1.090E-21
3425.0  8.524E-22
3475.0  6.993E-22
 0 400.0
108 125
2625.0  5.139E-20
2675.0  4.094E-20
2725.0  3.251E-20
2775.0  2.570E-20
2825.0  2.024E-20
2875.0  1.588E-20
2925.0  1.239E-20
2975.0  9.611E-21
3025.0  7.423E-21
3075.0  5.665E-21
3125.0  4.348E-21
3175.0  3.325E-21
3225.0  2.525E-21
3275.0  1.934E-21
3325.0  1.531E-21
3375.0  1.160E-21
3425.0  9.060E-22
3475.0  7.376E-22
 0 355.0
101 107
2300.0  1.841E-19
2350.0  1.528E-19
2400.0  1.270E-19
2450.0  1.074E-19
2500.0  8.588E-20
2550.0  7.108E-20
2575.0  6.025E-20
