 O3      =3O                                                
1
 2 298.0
 31  95
 540.0  4.500E-01
 554.5  4.500E-01
 560.0  4.500E-01
 580.0  4.500E-01
 584.7  4.500E-01
 600.0  4.500E-01
 609.4  4.500E-01
 620.0  4.500E-01
 625.3  4.500E-01
 629.7  4.500E-01
 640.0  4.500E-01
 660.0  4.500E-01
 680.0  4.500E-01
 700.0  4.500E-01
 720.0  4.500E-01
 740.0  4.500E-01
 760.0  4.500E-01
 764.6  4.500E-01
 770.4  4.500E-01
 780.0  4.500E-01
 790.2  4.500E-01
 800.0  4.500E-01
 820.0  4.500E-01
 834.2  4.500E-01
 840.0  4.500E-01
 860.0  4.500E-01
 880.0  4.500E-01
 900.0  4.500E-01
 920.0  4.500E-01
 923.1  4.500E-01
 933.4  4.500E-01
 937.8  4.500E-01
 940.0  4.500E-01
 949.7  4.500E-01
 960.0  4.500E-01
 972.5  4.500E-01
 977.0  4.500E-01
 980.0  4.500E-01
 991.0  4.500E-01
1000.0  4.500E-01
1020.0  4.500E-01
1025.7  4.500E-01
1035.0  4.500E-01
1060.0  4.500E-01
1110.0  4.500E-01
1155.0  4.500E-01
1190.0  4.500E-01
1210.0  4.500E-01
1215.7  4.500E-01
1250.0  4.500E-01
1300.0  4.500E-01
1350.0  4.500E-01
1400.0  4.500E-01
1450.0  4.500E-01
1500.0  4.500E-01
1550.0  4.500E-01
1600.0  4.276E-01
1650.0  3.810E-01
1700.0  3.344E-01
1750.0  2.878E-01
1800.0  2.412E-01
1850.0  1.946E-01
1900.0  1.480E-01
1950.0  7.163E-02
2000.0  6.000E-04
