# Cross sections for Co
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photoionisation source: Co  PHOTOIONIZATION
# Lines represented with lorentzian of width 0.0005 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photoionisation:    cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
  91.3000000       1.06862e-20       1.06862e-20
  91.4000000       1.10979e-20       1.10979e-20
  91.5000000       1.16468e-20       1.16468e-20
  91.6000000       1.21958e-20       1.21958e-20
  91.7000000       1.27447e-20       1.27447e-20
  91.8000000       1.32937e-20       1.32937e-20
  91.9000000       1.38426e-20       1.38426e-20
  92.0000000       1.43916e-20       1.43916e-20
  92.1000000       1.49405e-20       1.49405e-20
  92.2000000       1.54895e-20       1.54895e-20
  92.3000000       1.60384e-20       1.60384e-20
  92.4000000       1.65874e-20       1.65874e-20
  92.5000000       1.71363e-20       1.71363e-20
  92.6000000       1.76853e-20       1.76853e-20
  92.7000000       1.82342e-20       1.82342e-20
  92.8000000       1.87832e-20       1.87832e-20
  92.9000000       1.93321e-20       1.93321e-20
  93.0000000       1.98811e-20       1.98811e-20
  93.1000000       2.04300e-20       2.04300e-20
  93.2000000       2.09790e-20       2.09790e-20
  93.3000000       2.15279e-20       2.15279e-20
  93.4000000       2.20769e-20       2.20769e-20
  93.5000000       2.26258e-20       2.26258e-20
  93.6000000       2.31747e-20       2.31747e-20
  93.7000000       2.37237e-20       2.37237e-20
  93.8000000       2.42726e-20       2.42726e-20
  93.9000000       2.48216e-20       2.48216e-20
  94.0000000       2.53705e-20       2.53705e-20
  94.1000000       2.59195e-20       2.59195e-20
  94.2000000       2.64684e-20       2.64684e-20
  94.3000000       2.70174e-20       2.70174e-20
  94.4000000       2.75663e-20       2.75663e-20
  94.5000000       2.81153e-20       2.81153e-20
  94.6000000       2.86642e-20       2.86642e-20
  94.7000000       2.92132e-20       2.92132e-20
  94.8000000       2.97621e-20       2.97621e-20
  94.9000000       3.03111e-20       3.03111e-20
  95.0000000       3.08600e-20       3.08600e-20
  95.1000000       3.14090e-20       3.14090e-20
  95.2000000       3.19579e-20       3.19579e-20
  95.3000000       3.25069e-20       3.25069e-20
  95.4000000       3.30558e-20       3.30558e-20
  95.5000000       3.36048e-20       3.36048e-20
  95.6000000       3.41537e-20       3.41537e-20
  95.7000000       3.47027e-20       3.47027e-20
  95.8000000       3.52516e-20       3.52516e-20
  95.9000000       3.58005e-20       3.58005e-20
  96.0000000       3.63495e-20       3.63495e-20
  96.1000000       3.68984e-20       3.68984e-20
  96.2000000       3.74474e-20       3.74474e-20
  96.3000000       3.79963e-20       3.79963e-20
  96.4000000       3.85453e-20       3.85453e-20
  96.5000000       3.90942e-20       3.90942e-20
  96.6000000       3.96432e-20       3.96432e-20
  96.7000000       4.01921e-20       4.01921e-20
  96.8000000       4.07411e-20       4.07411e-20
  96.9000000       4.12900e-20       4.12900e-20
  97.0000000       4.18390e-20       4.18390e-20
  97.1000000       4.23879e-20       4.23879e-20
  97.2000000       4.29369e-20       4.29369e-20
  97.3000000       4.34858e-20       4.34858e-20
  97.4000000       4.40348e-20       4.40348e-20
  97.5000000       4.45837e-20       4.45837e-20
  97.6000000       4.51327e-20       4.51327e-20
  97.7000000       4.56816e-20       4.56816e-20
  97.8000000       4.62306e-20       4.62306e-20
  97.9000000       4.67795e-20       4.67795e-20
  98.0000000       4.73285e-20       4.73285e-20
  98.1000000       4.78774e-20       4.78774e-20
  98.2000000       4.84263e-20       4.84263e-20
  98.3000000       4.89753e-20       4.89753e-20
  98.4000000       4.95242e-20       4.95242e-20
  98.5000000       5.00732e-20       5.00732e-20
  98.6000000       5.06221e-20       5.06221e-20
  98.7000000       5.11711e-20       5.11711e-20
  98.8000000       5.17200e-20       5.17200e-20
  98.9000000       5.22690e-20       5.22690e-20
  99.0000000       5.28179e-20       5.28179e-20
  99.1000000       5.33669e-20       5.33669e-20
  99.2000000       5.39158e-20       5.39158e-20
  99.3000000       5.44648e-20       5.44648e-20
  99.4000000       5.50137e-20       5.50137e-20
  99.5000000       5.55627e-20       5.55627e-20
  99.6000000       5.61116e-20       5.61116e-20
  99.7000000       5.66606e-20       5.66606e-20
  99.8000000       5.72095e-20       5.72095e-20
  99.9000000       5.77585e-20       5.77585e-20
 100.0000000       5.83074e-20       5.83074e-20
 100.1000000       5.88564e-20       5.88564e-20
 100.2000000       5.94053e-20       5.94053e-20
 100.3000000       5.99543e-20       5.99543e-20
 100.4000000       6.05032e-20       6.05032e-20
 100.5000000       6.10522e-20       6.10522e-20
 100.6000000       6.16011e-20       6.16011e-20
 100.7000000       6.21500e-20       6.21500e-20
 100.8000000       6.26990e-20       6.26990e-20
 100.9000000       6.32479e-20       6.32479e-20
 101.0000000       6.37969e-20       6.37969e-20
 101.1000000       6.43458e-20       6.43458e-20
 101.2000000       6.48948e-20       6.48948e-20
 101.3000000       6.54437e-20       6.54437e-20
 101.4000000       6.59927e-20       6.59927e-20
 101.5000000       6.65416e-20       6.65416e-20
 101.6000000       6.70906e-20       6.70906e-20
 101.7000000       6.76395e-20       6.76395e-20
 101.8000000       6.81885e-20       6.81885e-20
 101.9000000       6.87374e-20       6.87374e-20
 102.0000000       6.92864e-20       6.92864e-20
 102.1000000       6.98353e-20       6.98353e-20
 102.2000000       7.03843e-20       7.03843e-20
 102.3000000       7.09332e-20       7.09332e-20
 102.4000000       7.14822e-20       7.14822e-20
 102.5000000       7.20311e-20       7.20311e-20
 102.6000000       7.25801e-20       7.25801e-20
 102.7000000       7.31290e-20       7.31290e-20
 102.8000000       7.36780e-20       7.36780e-20
 102.9000000       7.42269e-20       7.42269e-20
 103.0000000       7.47758e-20       7.47758e-20
 103.1000000       7.53248e-20       7.53248e-20
 103.2000000       7.58737e-20       7.58737e-20
 103.3000000       7.64227e-20       7.64227e-20
 103.4000000       7.69716e-20       7.69716e-20
 103.5000000       7.75206e-20       7.75206e-20
 103.6000000       7.80695e-20       7.80695e-20
 103.7000000       7.86185e-20       7.86185e-20
 103.8000000       7.91674e-20       7.91674e-20
 103.9000000       7.97164e-20       7.97164e-20
 104.0000000       8.02653e-20       8.02653e-20
 104.1000000       8.08143e-20       8.08143e-20
 104.2000000       8.13632e-20       8.13632e-20
 104.3000000       8.19122e-20       8.19122e-20
 104.4000000       8.24611e-20       8.24611e-20
 104.5000000       8.30101e-20       8.30101e-20
 104.6000000       8.35590e-20       8.35590e-20
 104.7000000       8.41080e-20       8.41080e-20
 104.8000000       8.46569e-20       8.46569e-20
 104.9000000       8.52059e-20       8.52059e-20
 105.0000000       8.57548e-20       8.57548e-20
 105.1000000       8.63038e-20       8.63038e-20
 105.2000000       8.68527e-20       8.68527e-20
 105.3000000       8.74016e-20       8.74016e-20
 105.4000000       8.79506e-20       8.79506e-20
 105.5000000       8.84995e-20       8.84995e-20
 105.6000000       8.90485e-20       8.90485e-20
 105.7000000       8.95974e-20       8.95974e-20
 105.8000000       9.01464e-20       9.01464e-20
 105.9000000       9.06953e-20       9.06953e-20
 106.0000000       9.12443e-20       9.12443e-20
 106.1000000       9.17932e-20       9.17932e-20
 106.2000000       9.23422e-20       9.23422e-20
 106.3000000       9.28911e-20       9.28911e-20
 106.4000000       9.34401e-20       9.34401e-20
 106.5000000       9.39890e-20       9.39890e-20
 106.6000000       9.45380e-20       9.45380e-20
 106.7000000       9.50869e-20       9.50869e-20
 106.8000000       9.56359e-20       9.56359e-20
 106.9000000       9.61848e-20       9.61848e-20
 107.0000000       9.67338e-20       9.67338e-20
 107.1000000       9.72827e-20       9.72827e-20
 107.2000000       9.78317e-20       9.78317e-20
 107.3000000       9.83806e-20       9.83806e-20
 107.4000000       9.89296e-20       9.89296e-20
 107.5000000       9.94785e-20       9.94785e-20
 107.6000000       1.00027e-19       1.00027e-19
 107.7000000       1.00576e-19       1.00576e-19
 107.8000000       1.01125e-19       1.01125e-19
 107.9000000       1.01674e-19       1.01674e-19
 108.0000000       1.02223e-19       1.02223e-19
 108.1000000       1.02772e-19       1.02772e-19
 108.2000000       1.03321e-19       1.03321e-19
 108.3000000       1.03870e-19       1.03870e-19
 108.4000000       1.04419e-19       1.04419e-19
 108.5000000       1.04968e-19       1.04968e-19
 108.6000000       1.05517e-19       1.05517e-19
 108.7000000       1.06066e-19       1.06066e-19
 108.8000000       1.06615e-19       1.06615e-19
 108.9000000       1.07164e-19       1.07164e-19
 109.0000000       1.07713e-19       1.07713e-19
 109.1000000       1.08262e-19       1.08262e-19
 109.2000000       1.08811e-19       1.08811e-19
 109.3000000       1.09360e-19       1.09360e-19
 109.4000000       1.09909e-19       1.09909e-19
 109.5000000       1.10457e-19       1.10457e-19
 109.6000000       1.11006e-19       1.11006e-19
 109.7000000       1.11555e-19       1.11555e-19
 109.8000000       1.12104e-19       1.12104e-19
 109.9000000       1.12653e-19       1.12653e-19
 110.0000000       1.13202e-19       1.13202e-19
 110.1000000       1.13751e-19       1.13751e-19
 110.2000000       1.14300e-19       1.14300e-19
 110.3000000       1.14849e-19       1.14849e-19
 110.4000000       1.15398e-19       1.15398e-19
 110.5000000       1.15947e-19       1.15947e-19
 110.6000000       1.16496e-19       1.16496e-19
 110.7000000       1.17045e-19       1.17045e-19
 110.8000000       1.17594e-19       1.17594e-19
 110.9000000       1.18143e-19       1.18143e-19
 111.0000000       1.18692e-19       1.18692e-19
 111.1000000       1.19241e-19       1.19241e-19
 111.2000000       1.19790e-19       1.19790e-19
 111.3000000       1.20339e-19       1.20339e-19
 111.4000000       1.20887e-19       1.20887e-19
 111.5000000       1.21436e-19       1.21436e-19
 111.6000000       1.21985e-19       1.21985e-19
 111.7000000       1.22534e-19       1.22534e-19
 111.8000000       1.23083e-19       1.23083e-19
 111.9000000       1.23632e-19       1.23632e-19
 112.0000000       1.24181e-19       1.24181e-19
 112.1000000       1.24730e-19       1.24730e-19
 112.2000000       1.25279e-19       1.25279e-19
 112.3000000       1.25828e-19       1.25828e-19
 112.4000000       1.26377e-19       1.26377e-19
 112.5000000       1.26926e-19       1.26926e-19
 112.6000000       1.27475e-19       1.27475e-19
 112.7000000       1.28024e-19       1.28024e-19
 112.8000000       1.28573e-19       1.28573e-19
 112.9000000       1.29122e-19       1.29122e-19
 113.0000000       1.29671e-19       1.29671e-19
 113.1000000       1.30220e-19       1.30220e-19
 113.2000000       1.30769e-19       1.30769e-19
 113.3000000       1.31317e-19       1.31317e-19
 113.4000000       1.31866e-19       1.31866e-19
 113.5000000       1.32415e-19       1.32415e-19
 113.6000000       1.32964e-19       1.32964e-19
 113.7000000       1.33513e-19       1.33513e-19
 113.8000000       1.34062e-19       1.34062e-19
 113.9000000       1.34611e-19       1.34611e-19
 114.0000000       1.35160e-19       1.35160e-19
 114.1000000       1.35709e-19       1.35709e-19
 114.2000000       1.36258e-19       1.36258e-19
 114.3000000       1.36807e-19       1.36807e-19
 114.4000000       1.37356e-19       1.37356e-19
 114.5000000       1.37905e-19       1.37905e-19
 114.6000000       1.38454e-19       1.38454e-19
 114.7000000       1.39003e-19       1.39003e-19
 114.8000000       1.39552e-19       1.39552e-19
 114.9000000       1.40101e-19       1.40101e-19
