 BR2     =2BR                                               
1
 0 298.0
 95 156
2000.0  3.800E-20
2050.0  3.800E-20
2100.0  3.800E-20
2150.0  3.800E-20
2200.0  3.800E-20
2250.0  3.800E-20
2300.0  3.800E-20
2350.0  3.800E-20
2400.0  3.800E-20
2450.0  3.800E-20
2500.0  3.800E-20
2550.0  3.800E-20
2575.0  3.800E-20
2625.0  3.800E-20
2675.0  3.800E-20
2725.0  3.800E-20
2775.0  3.800E-20
2825.0  3.800E-20
2875.0  3.800E-20
2925.0  3.800E-20
2975.0  3.800E-20
3025.0  3.800E-20
3075.0  3.800E-20
3125.0  3.800E-20
3175.0  3.800E-20
3225.0  3.800E-20
3275.0  3.800E-20
3325.0  3.800E-20
3375.0  3.800E-20
3425.0  3.800E-20
3475.0  3.800E-20
3525.0  5.700E-20
3575.0  7.600E-20
3625.0  9.600E-20
3675.0  1.200E-19
3725.0  1.600E-19
3775.0  2.300E-19
3825.0  3.100E-19
3875.0  3.800E-19
3925.0  4.600E-19
3975.0  5.000E-19
4025.0  5.400E-19
4100.0  6.100E-19
4200.0  6.100E-19
4300.0  5.500E-19
4400.0  5.000E-19
4500.0  4.600E-19
4600.0  4.400E-19
4700.0  4.200E-19
4800.0  3.800E-19
4900.0  3.400E-19
5000.0  3.100E-19
5100.0  2.700E-19
5200.0  2.300E-19
5300.0  1.900E-19
5400.0  1.200E-19
5500.0  8.400E-20
5600.0  6.900E-20
5700.0  5.700E-20
5800.0  5.000E-20
5900.0  4.600E-20
6000.0  3.100E-20
