 C2H6    =2CH3                                              
1
 2 298.0
 62  86
 937.8  1.200E-01
 940.0  1.200E-01
 949.7  1.200E-01
 960.0  1.200E-01
 972.5  1.200E-01
 977.0  1.200E-01
 980.0  1.200E-01
 991.0  1.200E-01
1000.0  1.200E-01
1020.0  1.200E-01
1025.7  1.200E-01
1035.0  1.200E-01
1060.0  1.200E-01
1110.0  1.200E-01
1155.0  1.200E-01
1190.0  1.200E-01
1210.0  1.200E-01
1215.7  6.000E-02
1250.0  6.000E-02
1300.0  6.000E-02
1350.0  6.000E-02
1400.0  6.000E-02
1450.0  1.000E-02
1500.0  1.000E-02
1550.0  1.000E-02
