 C2N2    =2CN                                               
1
 2 298.0
 60  99
 923.1  0.000E+00
 933.4  3.000E-01
 937.8  3.000E-01
 940.0  3.000E-01
 949.7  3.000E-01
 960.0  3.000E-01
 972.5  3.000E-01
 977.0  3.000E-01
 980.0  3.000E-01
 991.0  3.000E-01
1000.0  3.000E-01
1020.0  3.000E-01
1025.7  3.000E-01
1035.0  3.000E-01
1060.0  3.000E-01
1110.0  3.000E-01
1155.0  3.000E-01
1190.0  3.000E-01
1210.0  3.000E-01
1215.7  3.000E-01
1250.0  3.000E-01
1300.0  3.000E-01
1350.0  3.000E-01
1400.0  3.000E-01
1450.0  3.000E-01
1500.0  3.000E-01
1550.0  3.000E-01
1600.0  3.000E-01
1650.0  3.000E-01
1700.0  3.000E-01
1750.0  3.000E-01
1800.0  3.000E-01
1850.0  1.000E-01
1900.0  1.000E-01
1950.0  1.000E-01
2000.0  1.000E-01
2050.0  1.000E-01
2100.0  5.000E-02
2150.0  5.000E-02
2200.0  5.000E-02
