 CO      = CO                                               
1
 0 298.0
  1  96
   0.0  3.301E-20
  20.0  5.248E-19
  40.0  2.031E-19
  60.0  2.810E-19
  80.0  4.732E-19
 100.0  8.443E-19
 120.0  1.406E-18
 140.0  2.376E-18
 160.0  3.350E-18
 180.0  4.465E-18
 200.0  5.599E-18
 220.0  7.085E-18
 240.0  8.768E-18
 260.0  1.008E-17
 280.0  1.095E-17
 300.0  1.194E-17
 303.8  1.209E-17
 320.0  1.276E-17
 340.0  1.331E-17
 360.0  1.411E-17
 368.1  1.428E-17
 380.0  1.484E-17
 400.0  1.594E-17
 420.0  1.753E-17
 440.0  1.929E-17
 460.0  2.028E-17
 480.0  2.084E-17
 499.3  2.083E-17
 500.0  2.090E-17
 520.0  2.141E-17
 540.0  2.185E-17
 554.5  2.193E-17
 560.0  2.187E-17
 580.0  2.208E-17
 584.7  2.226E-17
 600.0  2.267E-17
 609.4  2.274E-17
 620.0  2.245E-17
 625.3  2.231E-17
 629.7  2.194E-17
 640.0  2.301E-17
 660.0  2.383E-17
 680.0  2.201E-17
 700.0  2.938E-17
 720.0  3.242E-17
 740.0  2.452E-17
 760.0  2.538E-17
 764.6  2.767E-17
 770.4  3.924E-17
 780.0  1.970E-17
 790.2  1.975E-17
 800.0  2.292E-17
 820.0  2.115E-17
 834.2  1.481E-17
 840.0  2.027E-17
 860.0  1.987E-17
 880.0  4.162E-17
 900.0  4.663E-17
 920.0  5.240E-17
 923.1  3.011E-17
 933.4  1.359E-16
 937.8  4.361E-18
 940.0  5.007E-17
 949.7  7.399E-17
 960.0  2.278E-17
 972.5  5.384E-17
 977.0  4.730E-18
 980.0  1.961E-17
 991.0  0.000E+00
1000.0  3.655E-18
1020.0  4.462E-20
1025.7  0.000E+00
1035.0  1.335E-20
1060.0  1.296E-17
1110.0  1.168E-17
1155.0  1.352E-18
1190.0  0.000E+00
1210.0  5.281E-21
1215.7  3.926E-21
1250.0  1.958E-19
1300.0  1.219E-18
1350.0  3.894E-18
1400.0  9.822E-18
1450.0  6.604E-18
1500.0  1.355E-17
1550.0  5.723E-18
1600.0  1.341E-19
1650.0  8.458E-20
1700.0  3.506E-20
1750.0  1.096E-21
1800.0  3.140E-23
1850.0  5.436E-23
1900.0  1.898E-22
1950.0  7.207E-23
2000.0  2.605E-22
2050.0  2.914E-22
