 N2      =2N                                                
1
 2 298.0
 42  68
 660.0  4.300E-02
 680.0  1.840E-01
 700.0  1.980E-01
 720.0  2.570E-01
 740.0  2.780E-01
 760.0  4.580E-01
 764.6  2.240E-01
 770.4  4.670E-01
 780.0  4.850E-01
 790.2  5.400E-01
 800.0  9.070E-01
 820.0  1.000E+00
 834.2  1.000E+00
 840.0  1.000E+00
 860.0  1.000E+00
 880.0  1.000E+00
 900.0  1.000E+00
 920.0  1.000E+00
 923.1  1.000E+00
 933.4  1.000E+00
 937.8  1.000E+00
 940.0  1.000E+00
 949.7  1.000E+00
 960.0  1.000E+00
 972.5  1.000E+00
 977.0  1.000E+00
 980.0  1.000E+00
