(mbar)       (K)     (cm2/s)   (km)
Pressure     Temp    Kzz  Altitude
1.321e-15   940.0   5743000000.0   5899.0
1.5650000000000002e-15   940.0   5743000000.0   5840.1
1.855e-15   940.0   5743000000.0   5781.3
2.199e-15   940.0   5743000000.0   5722.4
2.6070000000000004e-15   940.0   5743000000.0   5663.6
3.0920000000000005e-15   940.0   5743000000.0   5604.7
3.6680000000000004e-15   940.0   5743000000.0   5545.9
4.353e-15   940.0   5743000000.0   5487.0
5.1670000000000005e-15   940.0   5743000000.0   5428.1
6.136e-15   940.0   5743000000.0   5369.3
7.287e-15   940.0   5743000000.0   5310.4
8.657000000000002e-15   940.0   5743000000.0   5251.6
1.0290000000000001e-14   940.0   5743000000.0   5192.7
1.223e-14   940.0   5743000000.0   5133.9
1.4540000000000004e-14   940.0   5743000000.0   5075.0
1.729e-14   940.0   5743000000.0   5016.2
2.057e-14   940.0   5743000000.0   4957.3
2.448e-14   940.0   5743000000.0   4898.4
2.914000000000001e-14   940.0   5743000000.0   4839.6
3.4700000000000006e-14   940.0   5743000000.0   4780.7
4.1330000000000005e-14   940.0   5743000000.0   4721.9
4.924e-14   940.0   5743000000.0   4663.0
5.867e-14   940.0   5743000000.0   4604.2
6.994e-14   940.0   5743000000.0   4545.3
8.340000000000002e-14   940.0   5743000000.0   4486.5
9.948e-14   940.0   5743000000.0   4427.6
1.187e-13   940.0   5743000000.0   4368.7
1.4160000000000002e-13   940.0   5743000000.0   4309.9
1.691e-13   940.0   5743000000.0   4251.0
2.0190000000000003e-13   940.0   5743000000.0   4192.2
2.412e-13   940.0   5743000000.0   4133.3
2.883e-13   940.0   5743000000.0   4074.5
3.4459999999999997e-13   940.0   5743000000.0   4015.6
4.1200000000000006e-13   940.0   5743000000.0   3956.8
4.928e-13   940.0   5743000000.0   3897.9
5.896e-13   940.0   5743000000.0   3839.0
7.057e-13   940.0   5743000000.0   3780.2
8.450000000000001e-13   940.0   5743000000.0   3721.3
1.012e-12   940.0   5743000000.0   3662.5
1.2130000000000002e-12   940.0   5743000000.0   3603.6
1.454e-12   940.0   5743000000.0   3544.8
1.744e-12   940.0   5743000000.0   3485.9
2.0930000000000005e-12   940.0   5743000000.0   3427.1
2.512e-12   940.0   5743000000.0   3368.2
3.0180000000000003e-12   940.0   5743000000.0   3309.3
3.628e-12   940.0   5743000000.0   3250.5
4.363000000000001e-12   940.0   5743000000.0   3191.6
5.252e-12   940.0   5743000000.0   3132.8
6.327000000000001e-12   940.0   5743000000.0   3073.9
7.629e-12   940.0   5743000000.0   3015.1
9.21e-12   940.0   5743000000.0   2956.2
1.113e-11   940.0   5743000000.0   2897.4
1.347e-11   940.0   5743000000.0   2838.5
1.6330000000000003e-11   940.0   5743000000.0   2779.6
1.9840000000000003e-11   940.0   5743000000.0   2720.8
2.4150000000000002e-11   940.0   5743000000.0   2661.9
2.946e-11   940.0   5743000000.0   2603.1
3.606e-11   940.0   5743000000.0   2544.2
4.427e-11   940.0   5743000000.0   2485.4
5.457e-11   940.0   5743000000.0   2426.5
6.755000000000001e-11   940.0   5743000000.0   2367.7
8.403000000000002e-11   939.9   5743000000.0   2308.8
1.051e-10   939.9   5743000000.0   2250.0
1.323e-10   939.9   5743000000.0   2191.1
1.6780000000000003e-10   939.9   5743000000.0   2132.3
2.1430000000000003e-10   939.8   5743000000.0   2073.4
2.759e-10   939.8   5743000000.0   2014.6
3.584e-10   939.7   5743000000.0   1955.7
4.697e-10   939.6   5743000000.0   1896.9
6.214e-10   939.4   5743000000.0   1838.1
8.299000000000001e-10   939.3   5743000000.0   1779.3
1.119e-09   939.0   5743000000.0   1720.5
1.5220000000000001e-09   938.7   5743000000.0   1661.7
2.0889999999999997e-09   938.3   5743000000.0   1602.9
2.89e-09   937.7   5743000000.0   1544.2
4.0280000000000006e-09   937.0   5743000000.0   1485.5
6.383e-09   936.1   5743000000.0   1426.9
1.0110000000000001e-08   934.8   5725433962.26415   1368.3
1.6030000000000002e-08   933.2   4290430769.230768   1309.8
2.5390000000000004e-08   931.0   3195757692.3076935   1251.4
4.024e-08   928.2   2382086274.5098042   1193.2
6.381e-08   924.5   1770792307.6923082   1135.2
1.0129999999999999e-07   919.6   1317970588.235294   1077.5
1.607e-07   913.3   974929000.0000001   1020.1
2.526e-07   905.1   721146400.0000002   963.2
4.0630000000000003e-07   894.5   533137704.9180327   906.8
6.433e-07   880.9   396535220.12578624   851.2
1.009e-06   863.6   294187633.2622602   796.6
1.6110000000000001e-06   841.8   217783624.45414847   743.1
2.5370000000000004e-06   814.7   160970681.81818172   691.3
4.05e-06   781.4   118708076.00950113   641.3
6.381e-06   741.5   87157456.35910225   593.5
1.0170000000000001e-05   694.7   64397429.37853106   548.5
1.6060000000000002e-05   641.3   47435596.330275215   506.7
