(mbar)	(K)    	(cm2/s)   (km)  (1/cm^3)
Pressure	Temp	Kzz  Altitude  Total number density
7.373e-08   915.7   5743000000.0   1369.0   583335760.0
1.025e-07   914.4   4413000000.0   1316.0   811937500.0
1.428e-07   912.8   3385000000.0   1264.0   1132816800.0
1.981e-07   910.7   2604000000.0   1212.0   1575717700.0
2.753e-07   908.2   2002000000.0   1161.0   2196066000.0
3.832e-07   904.8   1536000000.0   1109.0   3068059000.0
5.313e-07   900.6   1183000000.0   1058.0   4273892000.0
7.39e-07   895.1   908500000.0   1008.0   5981158000.0
1.025e-06   888.2   699400000.0   958.0   8357581000.0
1.425e-06   879.5   537200000.0   908.4   11744850000.0
1.978e-06   868.5   413300000.0   859.6   16502660000.0
2.743e-06   854.8   318100000.0   811.9   23252290000.0
3.806e-06   837.8   244800000.0   765.0   32913800000.0
5.285e-06   816.8   188300000.0   719.2   46876620000.0
7.311e-06   791.6   145200000.0   675.2   66914810000.0
1.009e-05   761.8   112300000.0   633.1   95934600000.0
1.39e-05   726.7   86840000.0   593.0   138594300000.0
1.907e-05   687.0   67440000.0   555.6   201067000000.0
2.623e-05   641.9   52270000.0   520.2   296015200000.0
3.601e-05   592.5   40560000.0   487.5   440288400000.0
4.939e-05   539.5   31500000.0   457.7   663224000000.0
6.7e-05   486.5   24680000.0   431.7   997838200000.0
9.084e-05   432.7   19350000.0   408.6   1521079300000.0
0.0001228   380.1   15200000.0   388.3   2339593200000.0
0.0001653   330.5   11990000.0   370.9   3622879400000.0
0.00022   282.8   9535000.0   356.6   5634655300000.0
0.0002945   241.0   7549000.0   344.2   8853604000000.0
0.0004006   216.9   5903000.0   332.8   13380585000000.0
0.0005446   201.4   4617000.0   322.5   19589593000000.0
0.0007319   191.5   3645000.0   313.2   27689894000000.0
0.0009982   184.2   2843000.0   304.0   39249186000000.0
0.001378   178.9   2197000.0   294.8   55776401000000.0
0.001849   175.4   1736000.0   286.7   76368462000000.0
0.002497   172.8   1365000.0   278.6   104666335000000.0
0.003385   170.9   1070000.0   270.6   143412007000000.0
0.004609   169.4   836300.0   262.6   196981504000000.0
0.006291   168.3   652000.0   254.7   270710934400000.0
0.008605   167.5   507500.0   246.9   372010448100000.0
0.01179   166.8   397100.0   239.1   511690156300000.0
0.01619   166.4   312100.0   231.3   704250044680000.0
0.02222   166.0   245300.0   223.6   969200016930000.0
0.03056   165.7   192500.0   216.0   1335200010420000.0
0.04206   165.6   151000.0   208.3   1838000007743000.0
0.05787   165.4   118500.0   200.7   2532700006070000.0
0.07977   165.4   92860.0   193.1   3490900004867000.0
0.11   165.4   72750.0   185.5   4811700004030000.0
0.1517   165.4   56980.0   178.0   6635500003471000.0
0.2091   165.4   44630.0   170.5   9150000003111000.0
0.2888   165.4   34930.0   163.0   1.2637000002895e+16
0.3984   165.4   27350.0   155.5   1.7428000002785e+16
0.5507   165.4   21390.0   148.1   2.4088000002749e+16
0.7609   165.4   16730.0   140.6   3.3280000002771e+16
1.053   165.3   13230.0   133.1   4.6069000002846e+16
1.456   165.0   11180.0   125.7   6.3808000002973e+16
2.018   164.4   9432.0   118.2   8.8810000003148e+16
2.803   163.0   7951.0   110.8   1.24380000003368e+17
3.751   160.9   6834.0   104.3   1.686500000036e+17
5.039   157.9   5861.0   97.75   2.30850000003884e+17
6.818   154.4   5009.0   91.25   3.19340000004245e+17
9.287   151.0   4265.0   84.75   4.44850000004703e+17
