#(mbar)	(K)    	(cm2/s)   (km)
Pressure	Temp	Kzz  Altitude
1.159E-03 179.0 3.278E+06 112.0
1.913E-03 177.0 2.536E+06 110.0
3.164E-03 175.0 1.956E+06 108.0
5.269E-03 173.5 1.506E+06 106.0
8.808E-03 172.0 1.157E+06 104.0
1.473E-02 171.0 8.887E+05 102.0
2.435E-02 168.0 6.761E+05 100.0
4.038E-02 159.0 5.178E+05 98.0
6.912E-02 156.0 3.917E+05 96.0
1.204E-01 156.0 2.948E+05 94.0 
2.091E-01 158.0 2.250E+05 92.0
3.600E-01 161.0 1.699E+05 90.0
6.149E-01 165.0 1.311E+05 88.0
1.035E+00 170.0 1.031E+05 86.0
1.703E+00 178.0 8.179E+04 84.0
2.780E+00 190.0 6.549E+04 82.0
4.411E+00 201.0 5.261E+04 80.0
6.902E+00 211.0 5.119E+04 78.0
1.054E+01 217.0 4.981E+04 76.0
1.591E+01 223.0 4.846E+04 74.0
2.379E+01 228.0 4.715E+04 72.0
3.506E+01 233.0 4.588E+04 70.0
5.169E+01 237.0 4.463E+04 68.0
7.590E+01 236.0 4.343E+04 66.0
1.101E+02 244.0 4.225E+04 64.0
1.590E+02 252.0 4.111E+04 62.0
2.269E+02 263.0 4.000E+04 60.0
3.181E+02 274.0 3.892E+04 58.0
