(mbar)	(K)    	(cm2/s)   (km)  (1/cm^3)
Pressure	Temp	Kzz  Altitude  Total number density
0.007560000000000001   175.0   1321966.173383385   105.0  3.1304348e+14
0.011485384615384625   175.0   1144643.5216905067   103.99038461538461  4.7558528e+14 
0.01541076923076925   175.0   1010756.8852809932   102.98076923076923  6.3812709e+14 
0.019336153846153874   175.0   884109.5847520404   101.97115384615384  8.006689e+14
0.023261538461538445   175.0   776307.7556417282   100.96153846153847  9.632107e+14 
0.02830103342684292   170.6462339503205   675101.8415279374   99.95192307692308  1.2017842e+15 
0.03801774099054487   170.21714690705127   589543.3993424217   98.9423076923077  1.6184672e+15 
0.048187260955528874   169.8110566923077   513342.99876154464   97.9326923076923  2.0563034e+15  
0.06469615453846159   169.72692207692307   440109.39445521426   96.92307692307692  2.7621588e+15 
0.08218899050192321   169.66225859375   377249.81470852304   95.91346153846153  3.5103411e+15
0.11017721185769212   169.8052871875   333295.5847370717   94.90384615384616  4.7017711e+15
0.14017363832932672   170.01794727083333   287949.12866854074   93.89423076923077 5.9743752e+15 
0.1873310903365384   170.82564008333335   248825.68957630778   92.88461538461539  7.9465335e+15 
0.2383906256979167   171.69166613541668   216495.418356718   91.875  1.0061457e+16 
0.31706490479647453   172.97051203685896   188626.84130728856   90.86538461538461  1.3283026e+16
0.40295432774118645   174.38517546233973   165558.85410335465   89.85576923076923  1.6744307e+16 
0.5321346137628215   176.61474403205128   145811.92741816692   88.84615384615384  2.1833103e+16 
0.6741357329951914   178.89607505448714   128015.55796771761   87.83653846153847  2.7306589e+16 
0.8825035182596148   181.44535289102564   111375.8595350815   86.82692307692308  3.5244441e+16
1.1128309208573715   184.16362166025644   99559.90987070015   85.8173076923077  4.37858e+16 
1.4425544861217954   187.64679675641028   88545.30377596927   84.8076923076923  5.5705119e+16
1.8083886192227583   191.17203815064104   78899.77340595589   83.79807692307692  6.8547422e+16 
2.318665023669867   194.86554473717945   70507.29559821858   82.78846153846155  8.6224246e+16 
2.8871601908333284   198.61802673317302   63021.05096819275   81.77884615384616  1.0533657e+17
3.6632179033333303   202.58076888461537   56393.19896150495   80.76923076923077  1.3103365e+17
4.530080920320511   206.67572209375   52678.20085552132   79.75961538461539  1.5883224e+17 
5.687520911666668   211.19375068750003   51287.418847122404   78.75  1.9514649e+17 
6.98487191700321   215.5646638317308   50764.868015438034   77.74038461538461  2.3480258e+17 
8.686410296089752   219.51057678846155   50285.14188865826   76.73076923076923  2.8675068e+17 
10.605634653942325   223.1334934383013   49788.31814916514   75.72115384615384  3.4443615e+17 
13.095346404423063   225.9099370080128   49273.339853627316   74.71153846153847  4.200403e+17 
15.92506450256409   228.4007235264423   48300.79767638149   73.70192307692308  5.0524538e+17 
19.566410656410252   230.20961901923076   47421.37090950869   72.6923076923077  6.158838e+17 
23.73369418333334   231.94447478125   46695.354017140795   71.6826923076923  7.4149263e+17 
29.048477433333275   233.51778931249999   45817.18946224706   70.67307692307693  9.0139841e+17 
35.1706727442307   234.92003079887823   45190.3741904507   69.66346153846155  1.0848898e+18
42.90769217692302   235.9801261955128   44761.783905324206   68.65384615384616  1.3176012e+18 
51.891090034134564   236.84751414823717   44035.47928035786   67.64423076923077  1.5876078e+18 
63.16512932019228   237.36073706891028   43268.32150711624   66.63461538461539  1.9283597e+18
76.33698049374999   237.99895858333335   42660.64544009099   65.625  2.3242395e+18 
92.72051332307696   238.8487161794872   42052.96937306574   64.61538461538461  2.813038e+18
111.90078558493583   240.3292448790064   41308.34267163164   63.60576923076923  3.373998e+18 
135.4466998878205   242.79439188621797   40529.51108857344   62.59615384615385  4.0426112e+18 
163.03557824519237   245.50416792628207   39815.533303043034   61.58653846153846  4.8122242e+18 
196.45384663461527   248.56666489743588   39101.55551751262   60.57692307692308  5.7271468e+18 
233.88894086538457   252.1844555224359   38593.74724150241   59.56730769230769  6.7206794e+18 
279.9012816666667   257.5230810961538   38394.739111910094   58.55769230769231  7.8760659e+18 
333.5102582371793   265.2038468461538   38195.730982317786   57.54807692307693  9.1127552e+18 
395.14871794871783   275.0230765769231   37929.05598534873   56.53846153846154  1.0411488e+19 
465.3282143157052   285.89438872756415   37501.67217835992   55.52884615384615  1.1794378e+19 
544.6455229455125   296.7301217243589   37074.28837137112   54.519230769230774  1.3300678e+19
634.0056057868587   307.16954722435895   36557.50775527118   53.50961538461539  1.495669e+19 
734.4166634166667   317.524999   35941.692755843666   52.5  1.6760451e+19 
846.9395833333327   327.12451925   35325.877756416165   51.49038461538462  1.8761201e+19 
973.0679556410253   335.8413466346154   34854.598437819965   50.48076923076923  2.0995702e+19 
1114.1208466666667   344.2395838621794   34460.27460334205   49.47115384615385  2.3452719e+19 
1271.4615446153837   352.2256414871794   34065.95076886414   48.46153846153847  2.6157901e+19 
1446.9326923076917   359.69727728525635   33602.71279605687   47.45192307692308  2.9149595e+19 
1642.3589743589741   366.8708385641026   33125.42862944999   46.44230769230769  3.243961e+19 
1860.022435897436   374.0233998974359   32568.512433348238   45.43269230769231  3.6036341e+19 
2101.609005128204   381.1820520128205   31952.301002976474   44.42307692307693  3.9952177e+19 
2368.855775641025   388.4328533910257   31613.723655845424   43.41346153846154  4.419198e+19 
2664.4615276923078   395.8282045320513   31275.11747685881   42.40384615384615  4.8777994e+19 
2990.634615384614   403.22868610897433   30771.844120259415   41.394230769230774  5.3744319e+19 
3349.602564102563   411.03333494871794   30284.111883972993   40.38461538461539  5.9052401e+19 
