(mbar)	(K)    	(cm2/s)   (km)  (1/cm^3)
Pressure	Temp	Kzz  Altitude  Total Number density
0.00756   175.0   1321966.173   105.0   3.1304348e+14
0.01149   175.0   1144643.52   103.99  4.7558528e+14
0.0154   175.0   1010756.885   102.98  6.3768116e+14
0.0193   175.0   884109.584   101.97  7.9917184e+14
0.0233   175.0   776307.755   100.96  9.6480331e+14
0.0283   170.6   675101.842   99.952  1.202066e+15
0.0380   170.2   589543.399   98.942  1.617875e+15 
0.0482   169.8   513342.999   97.933  2.0569809e+15
0.0647   169.73   440109.394   96.923  2.7622729e+15
0.0822   169.66   377249.815   95.913  3.510858e+15
0.1102   169.81   333295.585   94.904  4.7026131e+15 
0.1402   170.02   287949.129   93.894  5.9754266e+15 
0.1873   170.826   248825.689   92.884  7.9451979e+15
0.2384   171.692   216495.418   91.875  1.0061833e+16 
0.3171   172.971   188626.841   90.865  1.3284459e+16 
0.4030   174.385   165558.854   89.856  1.6746222e+16 
0.5321   176.615   145811.927   88.846  2.1831651e+16 
0.6741   178.896   128015.558   87.836  2.7305153e+16
0.8825   181.445   111375.860   86.827  3.5244441e+16
1.1128   184.164   99559.910   85.817  4.37858e+16 
1.4425   187.647   88545.304   84.808  5.5705119e+16 
1.8084   191.172   78899.773   83.798  6.8547422e+16
2.3187   194.866   70507.296   82.788  8.6224246e+16
2.8872   198.618   63021.051   81.779  1.0533657e+17
3.6632   202.581   56393.199   80.769  1.3103365e+17
4.5301   206.676   52678.201   79.760  1.5883224e+17
5.6875   211.194   51287.419   78.75   1.9514649e+17
6.9849   215.565   50764.868   77.740  2.3480258e+17
8.6864   219.511   50285.142   76.731  2.8675068e+17 
10.606   223.133   49788.318   75.721  3.4443615e+17
13.095   225.910   49273.339   74.712  4.200403e+17
15.925   228.401   48300.798   73.702  5.0524538e+17
19.566   230.210   47421.371   72.692  6.158838e+17
23.734   231.945   46695.354   71.683  7.4149263e+17
29.048   233.518   45817.189   70.673  9.0139841e+17
35.171   234.920   45190.374   69.663  1.0848898e+18
42.908   235.980   44761.784   68.654  1.3176012e+18
51.891   236.848   44035.479   67.644  1.5876078e+18 
63.165   237.361   43268.322   66.635  1.9283597e+18 
76.337   237.999   42660.645   65.625  2.3242395e+18
92.721   238.849   42052.969   64.615  2.813038e+18
111.90   240.329   41308.343   63.606  3.373998e+18
135.45   242.794   40529.511   62.596  4.0426112e+18
163.036   245.504   39815.533   61.586  4.8122242e+18
196.454   248.567   39101.555   60.577  5.7271468e+18
233.889   252.184   38593.747   59.567  6.7206794e+18 
279.901   257.523   38394.739   58.558  7.8760659e+18
333.510   265.204   38195.731   57.548  9.1127552e+18 
395.149   275.0230   37929.056   56.538  1.0411488e+19
465.328   285.894   37501.672   55.529  1.1794378e+19
544.646   296.730   37074.288   54.519  1.3300678e+19 
634.006   307.170   36557.508   53.510  1.495669e+19
734.417   317.525  35941.693   52.5  1.6760451e+19
846.939   327.124   35325.878   51.490  1.8761201e+19
973.068  335.841   34854.598   50.481  2.0995702e+19 
1114.121   344.239   34460.275   49.471  2.3452719e+19
1271.462   352.226   34065.951   48.462  2.6157901e+19
1446.933   359.697   33602.713   47.452  2.9149595e+19 
1642.359   366.871   33125.429   46.442  3.243961e+19
1860.022   374.023   32568.512   45.433  3.6036341e+19
2101.609   381.182   31952.301   44.423  3.9952177e+19 
2368.856   388.433   31613.724   43.413  4.419198e+19
2664.462   395.828   31275.117   42.404  4.8777994e+19 
2990.635   403.229   30771.844   41.394  5.3744319e+19 
3349.603   411.033   30284.112   40.385  5.9052401e+19 
